fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,pH_bin_5,pH_bin_10
11.8,0.23,0.38,0.034,123.0,0.9997,2.93,0.55,9.7,3,0,"(2.719, 2.978]","(2.849, 2.978]"
7.3,0.19,0.49,0.058,134.0,0.9998,3.42,0.36,9.1,7,0,"(3.236, 3.494]","(3.365, 3.494]"
5.6,0.185,0.19,0.048,110.0,0.99438,3.26,0.41,9.5,6,0,"(3.236, 3.494]","(3.236, 3.365]"
9.0,0.82,0.05,0.081,96.0,0.99814,3.36,0.53,10.0,5,1,"(3.236, 3.494]","(3.236, 3.365]"
8.2,0.4,0.44,0.089,43.0,0.9975,3.53,0.61,10.5,6,1,"(3.494, 3.752]","(3.494, 3.623]"
6.3,0.39,0.35,0.04,260.0,0.9941,3.12,0.66,10.1,5,0,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.28,0.44,0.081,68.0,0.99501,3.36,0.66,11.2,5,1,"(3.236, 3.494]","(3.236, 3.365]"
8.8,0.33,0.44,0.024,87.0,0.9917,2.96,0.4,12.6,7,0,"(2.719, 2.978]","(2.849, 2.978]"
6.1,0.3,0.3,0.031,163.0,0.9895,3.39,0.43,12.7,7,0,"(3.236, 3.494]","(3.365, 3.494]"
6.0,0.23,0.34,0.025,111.0,0.98961,3.36,0.37,12.7,6,0,"(3.236, 3.494]","(3.236, 3.365]"
